Image Type,Model,Fold,Accuracy,Precision,Recall,F1 Score,Cohen's Kappa
spectrogram,resnet18,3,84.97,85.14,84.99,84.99,83.31
spectrogram,mobilenet_v2,2,79.83,79.48,79.83,79.45,77.59
spectrogram,efficientnet_b0,5,86.31,86.31,86.32,86.23,84.79
spectrogram,CustomCNN-1,2,81.67,82.28,81.67,81.84,79.63
spectrogram,CustomCNN-2,2,65.50,66.39,65.50,65.35,61.67
melspectrogram,resnet18,2,88.83,88.83,88.83,88.77,87.59
melspectrogram,mobilenet_v2,2,82.33,82.41,82.33,82.36,80.37
melspectrogram,efficientnet_b0,2,88.83,89.24,88.83,88.92,87.59
melspectrogram,CustomCNN-1,2,87.83,88.39,87.83,87.79,86.48
melspectrogram,CustomCNN-2,4,75.29,74.69,75.29,74.26,72.55
chromagram,resnet18,1,61.17,60.08,61.17,60.21,56.85
chromagram,mobilenet_v2,1,53.83,54.07,53.83,53.51,48.70
chromagram,efficientnet_b0,4,61.10,61.42,61.13,61.13,56.78
chromagram,CustomCNN-1,1,53.00,53.89,53.00,53.22,47.78
chromagram,CustomCNN-2,2,48.00,44.87,48.00,45.94,42.22
